,date,policy_type,start_stop,comments,total_phases,state
1122,2020-06-05,Houses of Worship,start,"Policy_Details: Governor Polis issued a revised version of Safer at Home, and in the Vast, Great Outdoors
-Houses of worship are encouraged to implement electronic platforms to conduct services whenever possible or to conduct more frequent services of 10 people or less
-Houses of worship may open to 50% occupancy and not to exceed 50 people indoors
-Outdoor worship services can attain approval for maximum numbers of individuals and must maintain 6 ft apart from non-household members
-Face coverings are encouraged to be worn by staff, volunteers, and congregants, unless the person is under 2 years old, has trouble breathing, or those who can't remove a mask without assistance
-Houses of worship must follow guidelines for cleaning and disinfecting their buildings before, during, and after worship 
-   Source information: https://covid19.colorado.gov/covid-19-in-colorado/public-health-executive-orders-resource ",,CO
1123,2020-06-08,Phase 3,start,"Policy_Details: Mass gatherings up to 45 people.
All businesses open with physical distancing.   Source information: https://covid.ks.gov/wp-content/uploads/2020/05/Reopen-Kansas-Framework-v7.pdf",,KS
1125,2020-04-20,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,MA
1129,2020-06-07,Childcare (K-12),start,"Policy_Details: overnight youth summer camps open at 75% bed capacity ; residential college programming limited to 8 weeks, 50 participants  ; overnight camps & residential college programs may operate in groups greater than 25 as long as physical distancing is ensured ; non-essential visits from family & friends prohibited ; cuationary drop-off procedures (i.e. curbside drop-off, no overnight accomodations for families,  1 family member/camper, bus service for out-of-state campers to reduce cross-state travel) ; out-of-state staff & campers must complete quarantine of (i) 14 days at home or camp or (ii) 7 days at home or camp with negative test result   Source information: https://governor.vermont.gov/press-release/governor-phil-scott-announces-opening-additional-business-operations-increased-social",,VT
1131,2020-03-19,Gyms,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,WV
1132,2020-03-23,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,NH
1134,2020-07-10,Mask Requirement,start,"Policy_Details: face coverings required in indoor public spaces, crowded outdoor spaces, and when waiting for or riding public transportation (including taxi, ride-sharing vehicles, and private car services)   Source information: https://www.michigan.gov/documents/whitmer/EO_2020-147_696551_7.pdf",6.0,MI
1136,2020-05-11,Non-Essential Businesses,start,"Policy_Details: standalone/strip mall retail stores with outside entrance open for in-person shopping (5 customers at a time) ; personal care services (i.e. hair, nails, day spas, electrolysis, waxing, tattoo, body art, tanning) closed 

 Phase Level: Shelter in Place, Phase Details Source information: https://content.govdelivery.com/attachments/WIGOV/2020/05/11/file_attachments/1447953/EMO36-SAHDialTurn2.pdf ",3.0,WI
1137,2020-05-01,Outdoor and Recreation,start,"Policy_Details: guided outdoor activities (hunting, fishing, boating) resume; marinas, golf courses, 30 state parks, historic sites, state-owned public lands trails open (coastal sites remain closed) 
 Phase Level: 1, Phase Details Source information: https://www.maine.gov/covid19/restartingmaine",3.0,ME
1138,2020-05-08,Outdoor and Recreation,start,"Policy_Details: Stage 2 allows gradual reopening of lower-risk workplaces with adaptations including bookstores, clothing stores, florists and sporting goods stores, with modifications  Phase Level: 2, Phase Details Source information: https://www.gov.ca.gov/wp-content/uploads/2020/05/5.4-Report-Card-on-California-Resilience-Roadmap.pdf",,CA
1139,2020-03-23,Gyms,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TN
1140,2020-03-30,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,MT
1141,2020-05-04,Non-Essential Businesses,start,"Policy_Details: """"""During Phase I, we can gradually start to reopen economic and social activity. This will be a deliberate process, and is flexible to adapt to the situation. Some communities may be able to reopen at a faster rate, while others may need to continue restrictions to keep the virus from spreading. During Phase I, we should limit our activity and interactions and continue to maintain social distancing and practice good hygiene to protect our neighbors and ourselves.

Citizens who feel sick should stay home!
Continue to practice good hygiene, including:
Washing hands with soap and water, or using hand sanitizer, especially after touching frequently used items or surfaces;
Avoiding touching your face;
Sneezing or coughing into a tissue, or the inside of your elbow; and
Disinfecting frequently used items and surfaces as much as possible.
Avoid socializing in groups that do not readily allow for appropriate physical distancing (receptions, trade shows, etc.). When in public (parks, outdoor recreation spaces, shopping malls, etc.), individuals should maximize physical distance from others.
Minimize travel to the extent possible.""""""   Source information: https://governor.mo.gov/sites/gov/files/media/pdf/2020/04/Economic-Reopening-Phase-1.pdf",,MO
1142,2020-04-27,Outdoor and Recreation,start,"Policy_Details: Governor amended executive order, statewide. Beginning May 1, gyms and exercise facilities in most counties can reopen at 50% capacity. The state released guidelines for social distancing and worker and consumer protections.   Source information: https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee29.pdf",,TN
1143,2020-05-04,Non-Essential Businesses,start,"Policy_Details: Executive Order 20-25 (amending EO 20-03) by Governor Asa Hutchinson: businesses subject to social distancing polices by Arkansas Department of Health  Phase Level: 1, Phase Details Source information: https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-25._._.pdf",3.0,AR
1147,2020-05-23,Day Care,start,"Policy_Details: Safer at Home order (amended/extended on May 22, 2020  by State Health Officer Scott Harris): child-care facilities and day camps/overnight summer camps to reopen compling with distancing guidelines and other guidelines     Source information: https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf",,AL
1150,2020-04-23,Outdoor and Recreation,start,"Policy_Details: Governor Brian Kemp Executive Order: Stay at home order was extended, but only for elderly and medically compromised.
 Cease in-person operations of amusement parks, pools Phase Level: 1, Phase Details Source information: https://www.georgia.org/covid19bizguide, https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders (click on order from 4/23 to download pdf)",3.0,GA
1151,2020-03-18,Gyms,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,KY
1152,2020-03-18,Day Care,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,VT
1156,2020-06-30,Phase 4,start,"Policy_Details: cleared for reopening: 
Higher Education
Pre-K to Grade 12 Schools
Low-Risk Outdoor Arts & Entertainment
Low-Risk Indoor Arts & Entertainment
Media Production
Professional Sports Competitions With No Fans
Malls   Source information: https://forward.ny.gov/phase-four-industries",,NY
1161,2020-04-23,Entertainment,start,"Policy_Details: Governor Brian Kemp Executive Order: Stay at home order was extended, but only for elderly and medically compromised.  Indoor movie theaters and bowling alleys may reopen given guidelines.
Cease in-person operations of bars, live performances, amusement parks/perfomance venues.   Phase Level: 1, Phase Details Source information: https://www.georgia.org/covid19bizguide, https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders (click on order from 4/23 to download pdf)",3.0,GA
1164,2020-04-23,Childcare (K-12),start,"Policy_Details: Governor Brian Kemp Executive Order: 
childcare facilities and schools can be open given safety measures to limit contact and spread Phase Level: 1, Phase Details Source information: https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders (click on order from 4/23 to download pdf)",3.0,GA
1165,2020-05-18,Phase 2,start,"Policy_Details: On May 22, the state entered its second phase of reopening. Bars, bowling alleys, bingo halls and rodeo events were allowed to open with additional guidelines, including occupancy limits. On May 31, certain professional sports leagues will be allowed to reopen without fans. On June 1, in-person summer school classes will be able to resume with additional guidelines. Phase Level: 2, Phase Details Source information: https://www.washingtonpost.com/graphics/2020/national/states-reopening-coronavirus-map/, https://gov.texas.gov/news/post/governor-abbott-announces-phase-two-to-open-texas",,TX
1166,2020-08-02,Mask Requirement,start,"Policy_Details: Governor Henry McMaster signed executive order 2020-50 in which counties and municipalities are encouraged to implement appropriate and narrowly tailored emergency ordinances, orders, or other measures requiring individuals to wear face coverings in public settings where social distancing is not possible. Restaurants shall require that all employees, customers, patrons, suppliers, vendors, and other visitors wear Face Coverings, except while actively engaged in eating or drinking and subject to any applicable exceptions. Order shall remain in effect for the duration of the State of Emergency.   Source information: https://governor.sc.gov/sites/default/files/Documents/2020-08-02%20eFILED%20Executive%20Order%20No.%202020-50%20-%20Initiating%20Additional%20Emergency%20Measures%20%26%20Consolidating%20Previous%20Orders.pdf",,SC
1167,2020-06-11,Phase 2,start,"Policy_Details: Maryland is suspending fees paid by someone who has a liquor license as part of Phase 2  Phase Level: 2, Phase Details Source information: https://governor.maryland.gov/wp-content/uploads/2020/06/Liquor-License-Fees-6.11.20.pdf",,MD
1173,2020-03-31,Personal Care,start,"Policy_Details: Starting Monday, May 4, 2020, retail businesses will be allowed to sell goods through delivery service, window service, walk-up service, drive-through service, drive-up service or curbside delivery provided they establish and implement sanitation and physical distancing measures. This updated guidance applies to the act of selling goods, not services.   Source information: https://azgovernor.gov/sites/default/files/eo_2020-33_0.pdf",,AZ
1175,2020-03-21,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave",,MI
1176,2020-05-30,Food and Drink,start,"Policy_Details: Mandatory social distancing.
Schools: CLOSED
All other businesses: 50% capacity or up to 10 people. Phase Level: 2, Phase Details Source information: https://www.ghs.guam.gov/jic-release-no-115-governor-signs-executive-order-2020-14-guam-pcor-2-sunday-pandemic-condition",4.0,GU
1181,2020-03-19,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,VA
1186,2020-05-30,New Phase,start,"Policy_Details: Mandatory social distancing. Schools: CLOSED All other businesses: 50% capacity or up to 10 people. Phase Level: 2, Phase Details Source information: https://www.ghs.guam.gov/jic-release-no-115-governor-signs-executive-order-2020-14-guam-pcor-2-sunday-pandemic-condition",4.0,GU
1187,2020-06-15,Childcare (K-12),start,"Policy_Details: Governor Carney announced Phase 2 of Delaware's reopening will begin June 15, 2020
INDIVIDUAL GUIDELINES
-Cloth coverings must be worn
-Non-household members must maximize social distancing
-All individuals in public (parks, outdoor recreation areas, shopping, etc) must social distance
-Indoor gathering limit: 50 people but social distance from non-household members
-Places operating at 30% occupancy under Phase 1 can move to 60% occupancy 
-Exercise facilities and personal care services (hair, tanning, tattoo, massage, nail, brow, spas) to remain at 30% occupancy
-Fully unenclosed outdoor gatherings of up to 250 people are permitted
-Leisure travel should be avoided but may resume under general guidance
-All vulnerable individuals should continue to shelter in place
BUSINESS GUIDELINES
-Common areas where people can congregate must remain closed
-Employees/customers have responsibility to self-quarantine if they think they may be sick
-Teleworking is encouraged
-All surfaces touched by customers must be disinfected by EPA-approved disinfectant every 15 minutes to 2 hours 
-Employees required to go to work should perform daily health work 
-All employees must wash hands throughout the day and use hand sanitizer and social distance from other employees
-Businesses must make hand sanitizer available to employees and patrons (hand sanitizer must be 60% ethanol and 70% isopropanol 
-Downtime should be given between shifts and after closing for cleaning 
-Employees must post signs about how to stop spread of COVID-19, hand hygiene, and wear a face covering  Phase Level: 2, Phase Details Source information: https://governor.delaware.gov/wp-content/uploads/sites/24/2020/06/Delaware-Economic-Reopening-PHASE-2.pdf",,DE
1189,2020-05-07,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,MS
1194,2020-05-22,Outdoor and Recreation,start,Policy_Details: Beaches   Source information: https://news.delaware.gov/2020/05/14/governor-carney-announces-reopening-of-beaches-to-delawareans/,,DE
1197,2020-03-16,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,MS
1198,2020-03-25,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,KY
1200,2020-07-16,Mask Requirement,start,"Policy_Details: State Health Officer Scott Harris signed 7/15 new Safer at Home Order with face covering requirement as ordered by Governor Kay Ivey's Proclamation from 7/15 effective 7/16 at 5:00pm: all required to wear face coverings when within six feet of a person from another household in any of the following places: an indoor space open to the general public, a vehicle operated by a transportation service, or an outdoor public space where ten or more people are gathered, with exceptions for those age 6 or under, those with relevant medical condition that prevents mask being worn, when eating/drinking, when receiving a service (i.e. personal care) that requires face to be uncovered, for security and safety purposes, when actively exercising or swimming, when essential for effective communication (mouth needs to be visible, or when broadcasting), when voting or attending religious services (strongly encouraged but not required because constitutionally protected activities), when conducting essential job functions for which face covering prevents necessary public safety function (first responders) or is unsafe by industry standards.    Source information: https://governor.alabama.gov/assets/2020/07/Safer-at-Home-Order-Mask-Amendment-7.15.2020-FINAL.pdf",,AL
1203,2020-05-04,Phase 1,start,"Policy_Details: ""The previous statewide Stay-at-Home and mass gatherings orders are lifted and mass gatherings of more than 10 individuals are prohibited. [...] Industries or functions that are already in operation pursuant to KEFF may continue to function while, if possible, avoiding gatherings of more than 10 individuals where social distancing measures are difficult to maintain. Any local government that decides to impose equal or more stringent restrictions during this phase is permitted to do so, except with regards to essential functions in KEFF. Any federal restrictions imposed and still in effect must be followed."" (p.9 of pdf in Source)   Source information: https://covid.ks.gov/wp-content/uploads/2020/05/Reopen-Kansas-Framework-v5-1.pdf",,KS
1207,2020-05-15,Food and Drink,start,"Policy_Details: Currently open: Grocery stores, pharmacies, banks and credit unions, and gas stations are all open.
Restaurants are open for take-out service only.
Stand alone retail operations are open provided they meet required safety and physical distancing guidelines. Indoor and outdoor malls are closed.
Local outdoor recreation activities are open, including many state parks.
Non-emergency medical care, dentist offices and veterinary care are open and operating, provided they meet required safety guidelines.
Local cultural, civic and faith gatherings are allowed for up to 25 people provided physical distancing can be in place.
Local social gatherings over 10 people are prohibited and those under 10 people must use physical distancing.
Personal care services such as salons and barbers, as well as gyms, are closed.
Child care is open under certain restrictions, with priority placements for children of health care workers, first responders, and frontline workers.
Public transit is open under certain restrictions, and must be sanitized often and enforce 3 feet of space between passengers.
Overnight camps are not permitted. Day camps are open with restrictions, including maximum stable groups of 10 or fewer children.
For summer school, limited in-person, small group instruction and/or summer programming is allowed, with certain restrictions.
 Phase Level: 1, Phase Details Source information: https://govstatus.egov.com/reopening-oregon#phase1",,OR
1208,2020-06-10,Houses of Worship,start,"Policy_Details: Churches, synagogues, mosques, temples, other similar facilities of any faith in Maryland may open to general public as long as total number of persons permitted in facility does not exceed 50% of facility's maximum occupancy  Phase Level: 2, Phase Details Source information: https://governor.maryland.gov/wp-content/uploads/2020/06/Gatherings-NINTH-AMENDED-6.10.20.pdf",,MD
1215,2020-05-01,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,ME
1217,2020-04-21,Phase 1,start,"Policy_Details: Phase 1 of Healthy at Work announced by Governor Andy Beshear on April 21, but this phase is only a state-readiness evaluation- reopening of economy did not begin until later during the second phase (announced early May) which is an individual business-readiness evaluation. Phase Level: 1, Phase Details Source information: https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=136",,KY
1219,2020-05-04,Gyms,start,"Policy_Details: Arkansas Department of Health Directive related to Governor Asa Hutchinson Executive Order 20-25 (amending EO 20-03): gyms and fitness studios may reopen given restrictions: screening, face coverings worn by employees, no use of pools/saunas/showers/spas, 12 ft spacing between people within gym or fitness class, sanitation of equipment Phase Level: 1, Phase Details Source information: https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-25._._.pdf, https://www.healthy.arkansas.gov/images/uploads/pdf/directive_gym_fitness.pdf",3.0,AR
1226,2020-03-31,Outdoor and Recreation,start,"Policy_Details: Starting Monday, May 4, 2020, retail businesses will be allowed to sell goods through delivery service, window service, walk-up service, drive-through service, drive-up service or curbside delivery provided they establish and implement sanitation and physical distancing measures. This updated guidance applies to the act of selling goods, not services.   Source information: https://azgovernor.gov/sites/default/files/eo_2020-33_0.pdf",,AZ
1228,2020-03-10,State of Emergency,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave",,MI
1229,2020-03-16,Gyms,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,WA
1235,2020-05-04,Gyms,start,"Policy_Details: Executive order by governor. Order excludes Miami-Dade, Broward, and Palm Beach counties. Gyms and fitness centers shall remain closed. Phase Level: 1, Phase Details Source information: https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-112.pdf",3.0,FL
1236,2020-03-19,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,IA
1237,2020-03-13,Order Freezing Utility Shut Offs,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,WI
1242,2020-03-17,Nursing Homes,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,HI
1244,2020-05-01,Outdoor and Recreation,start,"Policy_Details: ""Indoor gyms and recreation facilities remain closed, develop plans for reopening and ability to meet protocol business protocols in order to open in stage 2.  Hair salons remain closed, develop plans for reopening and ability to meet business protocols in order to open in stage 2.  	Large venues (e.g., movie theaters and sporting venues) are closed.    Restaurants dining rooms remain closed, develop plans for reopening and ability to meet business protocols in order to open in stage 2.    Bars and nightclubs remain closed.""   Source information: https://rebound.idaho.gov/wp-content/uploads/2020/05/opening-up-guidlines_rev051420.pdf",,ID
1245,2020-05-23,Houses of Worship,start,"Policy_Details: Governor, Individuals age thirteen (13) and up are required to wear a cloth face covering to enter
and remain inside (a cloth face covering is recommended but not required for children
ages 2-12);
   Source information: https://news.delaware.gov/2020/05/18/governor-carney-issues-guidance-for-churches-houses-of-worship/",,DE
1248,2020-03-16,Shelter in Place,start,Policy_Details: Retail - 50% Personal Care - Mon-Sat Outdoor and Recreations - Within curfew   Source information: https://www.estado.pr.gov/en/executive-orders/,,PR
1255,2020-09-08,Childcare (K-12),start,"Policy_Details: Governor Justice announced that September 8 is the new date that all West Virginia schools can open for in person instruction  Phase Level: 2, Phase Details Source information: https://governor.wv.gov/News/press-releases/2020/Pages/COVID-19-UPDATE-Gov.-Justice-announces-reopening-date-for-West-Virginia-schools.aspx",,WV
1256,2020-04-26,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave",,MI
1259,2020-04-26,New Phase,start,"Policy_Details: places of worship can become operational with reduced capacity and where strict physical distancing protocols can be maintained between non-household members Phase Level: 1, Phase Details Source information: https://covid19.mt.gov/Portals/223/Documents/04-22-20%20Directive%20and%20Appx%20-%20Reopening%20Phase%20One.pdf?ver=2020-04-22-124954-977",,MT
1261,2020-04-10,Shelter in Place,start,State Policy Start,,NE
1263,2020-05-11,Food and Drink,start,"Policy_Details: Safer at Home order (amended/extended on May 22, 2020  by State Health Officer Scott Harris): restaurants, bars, breweries, etc. can continue to be open but must operate under guidelines of order: limit party size/enforce social distancing for on-premises dining, all employees to wear masks/face coverings, takeout/online ordering encouraged to continue    Source information: https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf",,AL
1264,2020-05-11,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,FL
1265,2020-08-01,Mask Requirement,start,"Policy_Details: face coverings recommended for children ages 2-4, required for all children age 5 and older including in school/childcare facilities    Source information: https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%206%20-%20fy20-21.pdf",,ME
1269,2020-03-20,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,UT
1271,2020-03-08,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,OR
1277,2020-05-08,Non-Essential Businesses,start,"Policy_Details: • 50% capacity for businesses such as retail, restaurants, personal care and offices    Source information: https://covid19.alaska.gov/reopen/",,AK
1278,2020-05-06,Personal Care,start,"Policy_Details: Governor amended executive order, statewide. An amended executive order, 
Close contact personal service businesses like barber shops and hair salons can reopen at 50% capacity in most counties beginning May 6. Tennessee's Economic Recovery Group released guidelines for business processes and employee and consumer protections.   Source information: https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee29.pdf",,TN
1279,2020-03-25,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,IA
1282,2020-03-24,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, paid sick leave",,AZ
1284,2020-03-15,Order Freezing Utility Shut Offs,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,MS
1286,2020-05-09,Entertainment,start,"Policy_Details: ""All businesses and employers are encouraged to adopt and/or take the following
actions:
Businesses should encourage customers to wear FACE COVERINGS.
Continue to encourage TELEWORK, whenever possible and feasible with business operations.
If possible, have employees RETURN TO WORK IN PHASES.
CLOSE COMMON AREAS where personnel are likely to congregate and interact, or enforce strict social
distancing protocols.
Follow guidance from the NEVADA LABOR COMMISSIONER regarding sick leave policies.
Strongly consider SPECIAL ACCOMMODATIONS for employees who are members of a vulnerable
population.
Consider encouraging employees to do a SELF-ASSESSMENT each day in order to check if they have
any COVID-19 type symptoms (fever, cough or shortness of breath).
Remind employees to STAY HOME WHEN SICK, use cough and sneeze etiquette, and practice hand
hygiene.
Frequently perform enhanced ENVIRONMENTAL CLEANING of commonly touched surfaces.
Social Distancing & Sanitation Practices in Businesses - All businesses should consider proactive
measures to help protect staff and customers, including but not limited to:
• Implementing separate operating hours for the elderly and vulnerable customers.
• Designating with signage, tape or by other means, six feet of spacing for employees, customers,
clients or members to maintain appropriate distance.
• Having hand sanitizer, and sanitizing products, readily available for employees and customers.""   Source information: https://nvhealthresponse.nv.gov/wp-content/uploads/2020/05/Declaration-of-Emergency-Directive-018.Phase-1-Reopening.5-7-20-1.pdf",,NV
1287,2020-05-21,Childcare (K-12),start,"Policy_Details: summer camp restrictions originally issued May 21 to June 20 are extended through July 19 (groups shall not exceed 15 people, including staff)    Source information: https://governor.ri.gov/documents/orders/Executive-Order-20-47.pdf",,RI
1289,2020-06-10,Non-Essential Businesses,start,"Policy_Details: Retail establishments and malls may to general public as long as # of people in establishment does not exceed 50% of maximum occupancy 
On June 19, 2020, shopping centers that have one or more enclosed pedestrian concourses may open to general public  Phase Level: 2, Phase Details Source information: https://governor.maryland.gov/wp-content/uploads/2020/06/Gatherings-NINTH-AMENDED-6.10.20.pdf",,MD
1290,2020-04-03,Nursing Homes,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,GA
1291,2020-03-23,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,CO
1293,2020-06-01,Entertainment,start,"Policy_Details: ALL BUSINESSES can remain operational and must adhere to physical distancing.
• RESTAURANTS / BARS / BREWERIES / DISTILLERIES / CASINOS, GYMS / POOLS / HOT
TUBS, and MOVIE THEATRES remain in the same operational status as PHASE ONE, but with an
increase in capacity from 50% to 75%.
• ORGANIZED YOUTH ACTIVITES remain operational and should avoid GATHERING in groups of
more than 50 people in circumstances that do not readily allow for appropriate physical distancing.
• PLACES OF ASSEMBLY including live music venues and bowling alleys can become
operational with reduced capacity and must adhere to physical distancing. Avoid GATHERING in
groups of more than 50 people in circumstances that do not readily allow for appropriate physical
distancing. Cancel gatherings of more than 50 people unless physical distancing can be
maintained.
 Phase Level: 2, Phase Details Source information: https://covid19.mt.gov/Portals/223/Documents/Reopening%20Montana%20Phase%202.pdf?ver=2020-05-20-142015-167",,MT
1295,2020-05-11,Entertainment,start,"Policy_Details: drive-in theaters open
 Phase Level: 1, Phase Details Source information: https://www.governor.nh.gov/sites/g/files/ehbemt336/files/documents/emergency-order-40.pdf",,NH
1297,0020-04-27,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,MS
1302,2020-05-25,Outdoor and Recreation,start,"Policy_Details: recreation & outdoor facilities open (beaches, parks, select athletic fields & courts, fishing, hunting, boating, outdoor gardens, zoos, reserves) 
 Phase Level: 1, Phase Details Source information: https://www.mass.gov/doc/reopening-massachusetts-phase-one-summary/download",4.0,MA
1305,2020-06-10,Childcare (K-12),start,"Policy_Details: PK-12 school sports are permitted to resume in counties designated in the yellow and green phases 
Decision to resume sports related activities is at discretion of school entity's governing body
Any sports related activities must adhere to limitations in phased plan for reopening (25 in yellow, 250 in green) and facility as whole may not exceed 50% of total occupancy
During yellow and green phase, sports related activities are limited to student athletes, coaches, officials, and staff only  Phase Level: 2, Phase Details Source information: https://www.governor.pa.gov/covid-19/sports-guidance/",,PA
1306,2020-05-08,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TX
1308,2020-04-06,Shelter in Place,start,State Policy Start,,MO
1312,2020-04-07,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,ME
1315,2020-05-29,Phase 2,start,"Policy_Details: Gatherings no more than 50 people. All industries: Social distancing Brothels; Nightclubs; Sporting events (with spectators) and performance venues: CLOSED Fitness facilities; Food and Drink; Museums, art galleries, zoos and aquariums; Retail: 50% capacity Personal Care: Partition between work stations, appointment only Houses of Worship: Maximum 50 people Movie theaters and indoor malls: Reopen with social distancing Phase Level: 2, Phase Details Source information: https://nvhealthresponse.nv.gov/wp-content/uploads/2020/05/Directive-021-Phase-Two-Reopening-Plan.pdf",3.0,NV
1316,2020-07-01,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,OR
1317,2020-05-01,Personal Care,start,"Policy_Details: ""Indoor gyms and recreation facilities remain closed, develop plans for reopening and ability to meet protocol business protocols in order to open in stage 2.  Hair salons remain closed, develop plans for reopening and ability to meet business protocols in order to open in stage 2.  	Large venues (e.g., movie theaters and sporting venues) are closed.    Restaurants dining rooms remain closed, develop plans for reopening and ability to meet business protocols in order to open in stage 2.    Bars and nightclubs remain closed.""   Source information: https://rebound.idaho.gov/wp-content/uploads/2020/05/opening-up-guidlines_rev051420.pdf",,ID
1319,2020-03-30,Shelter in Place,start,Northern Mariana Islands,,MP
1323,2020-03-12,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave",,MI
1324,2020-03-23,Nursing Homes,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TN
1328,0020-05-01,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TN
1329,2020-03-18,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,RI
1333,2020-03-21,Shelter in Place,start,State Policy Start,,IL
1335,2020-03-10,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,CT
