date,policy_type,start_stop,comments,total_phases,state
2020-12-02,entertainment,stop,Policy_Details: Indoor and outdoor entertainment facilities are prohibited from operating during this freeze period.   Source information: https://www.oregon.gov/gov/Documents/executive_orders/eo_20-65.pdf,,OR
2020-06-29,non-essential businesses,stop,"Policy_Details: Mandatory social distancing.
Schools: CLOSED
All other businesses: 50% capacity or up to 10 people. Phase Level: 2, Phase Details Source information: https://www.ghs.guam.gov/jic-release-no-115-governor-signs-executive-order-2020-14-guam-pcor-2-sunday-pandemic-condition",4.0,GU
2020-05-30,outdoor and recreation,stop,"Policy_Details: public parks, fishing, boating, golf open ; playgrounds closed  Phase Level: 1, Phase Details Source information: https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-32.aspx",5.0,IL
2020-08-27,phase 4,stop,Policy_Details: all Indiana counties continue in Stage 4.5 until August 27    Source information: https://www.in.gov/gov/files/Executive%20Order%2020-39%20(2nd%20Extension%20Stage%204.5).pdf,5.0,IN
2020-05-31,shelter in place,stop,State Policy End,,HI
2020-05-11,phase 1,stop,"Policy_Details: *note: ""phases"" are not used to describe MS reopening but Safer at Home Order Stage 1- Executive Order 1477 by Governor Tate Reeves- shelter in place encouraged to continue for vulnerable populations, gatherings of 10 or more (without social distancing) not allowed, retail to 50%, restaurants/bars still takeout only, personal care/entertainment businesses still closed to the public but allowed minimum operations and curbside/drive through, recreation as allowed in previous order 4/20 remains (parks/beaches open limited basis) Phase Level: 1, Phase Details Source information: https://mcusercontent.com/08cb3e52aa1308600f84d49ea/files/e24a9045-8ab7-4aa0-bb23-bb49d342c816/Executive_Order_1477_Safer_at_Home.pdf",,MS
2020-04-30,shelter in place,stop,State Policy End,,IA
2020-08-06,phase 4,stop,Policy_Details: Idaho to remain in Stage 4 of the Idaho Rebounds plan for at least another two weeks.    Source information: https://gov.idaho.gov/pressrelease/gov-little-highlights-state-local-collaboration-in-covid-19-response-during-statewide-media-events/,,ID
2020-06-09,non-essential businesses,stop,"Policy_Details: retail open at 50% capacity ; non-essential non-customer-facing businesses open (must telework if possible) ; person care services (salons, tattoo parlors, barbershops) open at 25% occupancy capacity, 6 ft social distance, appointments required, masks required for workers & customers  Phase Level: 2, Phase Details Source information: https://mn.gov/covid19/for-minnesotans/stay-safe-mn/stay-safe-plan.jsp",4.0,MN
2020-05-18,shelter in place,stop,State Policy End,,MA
2020-07-31,non-essential businesses,stop,"Policy_Details: Alexa Harrist, Wyoming State Health Officer, released new information on non-essential businesses
Nail salons, hair salons, barber shops, cosmetology, electrology, and esthetic services, massage therapy (except for medical purposes), tattoo, body art, and piercing shops may operate under conditions Phase Level: 3, Phase Details Source information: https://covid19.wyo.gov/governors-orders",,WY
2020-06-09,shelter in place,stop,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,NJ
2020-05-18,outdoor and recreation,stop,"Policy_Details: Stay at home order ended by governor on april 30th, statewide. Executive order to enter phase one.  Texas' stay-at-home order ended April 30. Gyms and exercise facilities are permitted to reopen on May 18 at 25% capacity with guidelines, and must keep social distancing and sanitation requirements in mind. There have been no further announcements of how Texas will further ease restrictions. Public swimming pools remain closed. Phase Level: 1, Phase Details Source information: https://gov.texas.gov/uploads/files/press/EO-GA-18_expanded_reopening_of_services_COVID-19.pdf",,TX
2020-06-25,outdoor and recreation,stop,Policy_Details: Social distancing   Source information: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.06.10.pdf,,IA
2020-05-06,phase 1,stop,"Policy_Details: Phase 1 of Healthy at Work announced by Governor Andy Beshear on April 21, but this phase is only a state-readiness evaluation- reopening of economy did not begin until later during the second phase (announced early May) which is an individual business-readiness evaluation. Phase Level: 1, Phase Details Source information: https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=136",,KY
2020-09-05,phase 2,stop,Policy_Details: Executive Order 20-166- Extension of Executive Order 20-52-COVID-19 signed by Governor Ron Desantis on July 7: extends state of emergency for 60 days and Phase 2 (EO 20-139) remains in effect as modified    Source information: https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-166.pdf,,FL
2020-05-06,shelter in place,stop,State Policy End,,OK
2020-07-01,outdoor and recreation,stop,"Policy_Details: Indoor and outdoor events such as receptions, events, non critical auctions, theaters, trade shows, markets, indoor malls, rodeos, fairs, festivals, parades may operate  Phase Level: 2, Phase Details Source information: https://covid19.colorado.gov/covid-19-in-colorado/public-health-executive-orders-resource",,CO
2020-07-22,travel,start,"Policy_Details: travel advisory for individuals entering Ohio from states with 15% or higher positive testing rate; the list of states will be updated every week on Wednesday (based on a 7-day rolling average of positivity rates of July 22, travelers from the following states should self-quarantine for 14 days at home or in a hotel: Alabama, Arizona, Florida, Georgia, Idaho, Mississippi, Nevada, South Carolina, and Texas)    Source information: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/gov-dewine-issues-statewide-mask-order-travel-warning",,OH
2020-05-08,phase 1,start,"Policy_Details: Executive order signed by governor, statewide Cooper signed an executive order modifying the stay-at-home order and transitioning the state into Phase 1 of easing restrictions, effective 5:00 p.m. on May 8. The order will last until at least May 22. The modified order removes the distinction between essential and nonessential businesses. Retail businesses may operate at 50% capacity and must implement health and safety measures for workers and customers. Cloth face coverings are recommended for workers, and teleworking is encouraged whenever possible. In Phase 1, restaurants remain limited to drive-through, takeout and delivery service. Bars, personal care businesses, entertainment venues and gyms will stay closed. Child care facilities can be open during Phase 1, subject to strict cleaning protocols, to serve families of parents who are working or looking for work. Summer day camps can operate in compliance with state guidelines. Phase Level: 1, Phase Details Source information: https://files.nc.gov/governor/documents/files/EO121-Stay-at-Home-Order-3.pdf",3.0,NC
2020-07-16,entertainment,start,"Policy_Details: All nighclubs are prohibited from conducting operations Phase Level: 2, Phase Details Source information: https://www.governor.pa.gov/newsroom/wolf-administration-announces-targeted-mitigation-efforts-in-response-to-recent-covid-case-increases/",,PA
2020-10-08,manufacturing,start,Policy_Details: Emergency Order #3 limits the capacity of indoor spaces open to the public to 25% occupancy levels. Outdoor spaces and indoor spaces that are not publicly accessible are excluded from this order.    Source information: https://evers.wi.gov/Documents/COVID19/EmO03-LimitingPublicGatherings.pdf,4.0,WI
2020-06-22,non-essential businesses,start,"Policy_Details: -Employees and patrons must wear a cloth face covering at all times
-Gloves must be worn only as indicated per routine job responsibilities.
•Perform frequent hand hygiene (with soap and water or alcohol-based hand sanitizer).
-Avoid Close Contact and Reduce Touch points for Patrons and Employees(indoor barriers, encourage online shopping, make one way paths etc.)
-Employers must perform screening (e.g., symptom questionnaires) of employees daily,
prior to entering the business, over the phone or in person
-sick employees must not enter workplace ; if sick at work must immediately be separated and sent home.
-Limits the number of persons in the establishment at 50% of occupancy as specified on the Certificate of Occupancy and establishes processes.   Source information: https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/page_content/attachments/COVID-19_DC_Health_Guidance_for_Retail_08202020.pdf",2.0,DC
2020-05-05,non-essential businesses,start,"Policy_Details: "" Essential businesses open
- Existing construction that meets
 agreed upon criteria
- Landscaping
- Auto/RV/boat/ORV sales
- Retail (curb-side pick-up orders only)
- Car washes
- Pet walkers""   Source information: https://www.governor.wa.gov/sites/default/files/20-25.3%20-%20COVID-19%20Stay%20Home%20Stay%20Healthy%20-%20Reopening%20%28tmp%29.pdf?utm_medium=email&utm_source=govdelivery",,WA
2020-03-23,non-essential businesses,start,"Policy_Details: salons, tattoo parlors, barbershops, spas closed ; non-essential & non-profit businesses reduce in-person workforce by 100% Phase Level: Shelter in Place , Phase Details Source information: https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7H.pdf",3.0,CT
2020-05-08,outdoor and recreation,start,Policy_Details: • 25% capacity for gyms   Source information: https://covid19.alaska.gov/reopen/,,AK
2020-08-16,phase 3,start,"Policy_Details: Alexia Harrist, Wyoming State Health Officer, issued an updated public health order on nail salons, hair salons, barber shops, massage therapy services, tattoo, body art and piercing shops, and cosmetology, electrology, and esthetic services Phase Level: 3, Phase Details Source information: https://covid19.wyo.gov/governors-orders",,DC
2020-06-30,entertainment,start,"Policy_Details: 33% workforce and patron/visitor presence 
limited indoor seating 
social distancing measures 
employees wear face masks at all times    Source information: https://forward.ny.gov/phase-four-industries",,NY
2020-05-07,outdoor and recreation,start,"Policy_Details: outdoor recreation permitted with low or no direct physical contact (e.g. state & municipal parks, recreation associations, trail networks, golf courses, big game check stations, guided expeditions)    Source information: https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%2013%20TO%20EXECUTIVE%20ORDER%2001-20.pdf",,VT
2020-05-04,manufacturing,start,"Policy_Details: manufacturing, distribution & construction businesses resume operations    Source information: https://coronavirus.ohio.gov/static/publicorders/Directors-Stay-Safe-Ohio-Order.pdf",,OH
2020-06-15,phase 2,start,"Policy_Details: Permitted activities and businesses included emergency health care, essential construction, manufacturing, and essential retail, including grocery stores and pharmacies.   Source information: https://covid19.nj.gov/faqs/nj-information/reopening-guidance/when-and-how-is-new-jersey-lifting-restrictions-what-does-a-responsible-and-strategic-restart-of-new-jerseys-economy-look-like",,NJ
2020-06-12,phase 3,start,"Policy_Details: Mass Gatherings: must comply with social distancing, hygiene and public health measures.   Source information: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.06.10.pdf",,IA
2020-05-11,outdoor and recreation,start,"Policy_Details: Safer at Home order (amended/extended on May 22, 2020  by State Health Officer Scott Harris): Beaches: visitors to beaches must obersve 6 ft social distancing effective May 11, 2020   Source information: https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf",,AL
2020-05-21,phase 2,start,"Policy_Details: suspension of prohibitions & restrictions on post-retirement employment, with respect to those specific retirees identified by the Rhode Island Department of Health (RIDOH) as possessing the skills, training, or knowledge necessary to address COVID-19 Phase Level: 2, Phase Details Source information: https://governor.ri.gov/documents/orders/Executive-Order-20-37.pdf",3.0,RI
2020-06-05,outdoor and recreation,start,"Policy_Details: Governor Polis released public health order revising Safer at Home, and in the Vast, Great Outdoors
-Private campgrounds may open and campground operators must regularly clean & disinfect areas
-Group facilities, pavilions, cabins, yurts remain closed
-Campsites must be 6 ft apart, only available by reservation 
-Limit visitors in campground offices to maintain such distancing 
PERSONAL RECREATION 
-Personal recreation (playgrounds, outdoors sports facilities) at a maximum of 25 people 
-Outdoor swimming pools open at 50% occupancy, no more than 50 people 
-Organized recreational youth/adult league sports can start with no more than 25 players outdoors or 10 players indoors, parents can attend youth sports but remain 6 ft apart from non-household members, spectators discouraged at adult sports & sports league must retain records of players in case of later outbreak
-Gyms, recreation centers, indoor pools open at 25% occupancy, not to exceed 50 people, restrooms and showers open but lockers are closed
-Competitive events (races, endurance events) permitted with 6 ft distancing and limit on group size
OUTDOOR RECREATION 
-Outdoor recreation is permitted with non-guided recreation groups no larger than 10 people
-Guide services for fishing, hunting, biking, horseback riding, canoeing, kayaking, stand up paddle boarding, ATV tours, climbing permitted with groups no more than 10 people
-River outfitters, rafting, Jeep tours in groups up to 2 households in a boat or groups of no more than 10 in Jeep
-Developed hot springs may operate following outdoor pool requirements
-Outdoor recreation activities at ski resorts if local public health agency has reviewed & approved resort's plans 
-Outdoor recreation activities not at ski resorts if local public health agency has reviewed & approved plans 
-Scenic trains if every local public health agency in each jurisdiction train operates reviews and approves train's plans 
-Trail and conservation crew no larger than 10    Source information: https://covid19.colorado.gov/covid-19-in-colorado/public-health-executive-orders-resource",,CO
2020-05-15,phase 2,start,"Policy_Details: On May 15, the governor announced the state would enter its second phase: organized sports activities can resume with social distancing and sanitation protocols. Bars can operate with limited standing room occupancy. Funerals and weddings can resume under social distancing protocols, and children's nursery areas in places of worship can reopen. Phase Level: 2, Phase Details Source information: https://www.washingtonpost.com/graphics/2020/national/states-reopening-coronavirus-map/",,OK
2020-05-09,non-essential businesses,start,"Policy_Details: non-critical retail open for in-store pickup & limited browsing only (1 customer/300 ft^2) ; hair salons, barbershops, nail salons, spas, tattoo parlors remain closed 
  Phase Level: 1, Phase Details Source information: https://governor.ri.gov/documents/orders/Executive-Order-20-32.pdf",3.0,RI
2020-06-15,phase 2,start,"Policy_Details: Large indoor venues like theaters, museums, and funeral homes and large outdoor venues like arenas and concert halls can have up to 100 people inside at a time, and can increase to 66% capacity only if a plan is approved by the Secretary of Health.

Casinos, restaurants, and bars allowed to increase capacity to 66 percent.

All staff who come into regular contact with customers must continue to wear a mask.

Anyone who comes into these facilities must wear a face covering as well, and all groups must stay six feet apart from each other.   Source information: https://www.healthy.arkansas.gov/programs-services/topics/covid-19-health-guidances, https://www.nwahomepage.com/lifestyle/health/coronavirus/arkansas-moves-into-phase-two-of-reopening/",,AR
2020-06-05,phase 3,start,"Policy_Details: -Governor Burgum established Vulnerable Population Protection Plan (VP3) through Executive Order 2020-22.1 in order to protect vulnerable citizens staying in long-term and intermediate care facilities that serve those with developmental disabilities. -VP3 establishes protections such as transfer protocols, isolation and quarantine protocols, testing and contact tracing strategies, access to PPE, rapid response capabilities, control of occupancy, movement of individuals, and restrictions on visitation Phase Level: 3, Phase Details Source information: https://www.governor.nd.gov/sites/www/files/documents/executive-orders/Executive%20Order%202020-22.1.pdf",5.0,ND
2020-05-01,phase 1,start,"Policy_Details: Stay at home order ended by governor on april 30th, statewide. Executive order to enter phase one.  Texas' stay-at-home order ended April 30. Gov. Greg Abbott allowed retail stores, restaurants, movie theaters, malls, and museums to operate at 25% capacity starting May 1, saying businesses should operate with social distancing and sanitation measures in mind. Under Abbott's ""Open Texas"" plan, personal care businesses such as barbershops, hair salons, and tanning salons were allowed to resume operations starting on May 8. Gyms and exercise facilities, manufacturers, and offices are permitted to reopen on May 18, and must keep social distancing and sanitation requirements in mind. There have been no further announcements of how Texas will further ease restrictions. Public swimming pools, bars, interactive amusement venues, such as bowling alleys, and tattoo parlors remain closed. Phase Level: 1, Phase Details Source information: https://gov.texas.gov/uploads/files/press/EO-GA-18_expanded_reopening_of_services_COVID-19.pdf, https://gov.texas.gov/news/post/governor-abbott-announces-phase-one-to-open-texas-establishes-statewide-minimum-standard-health-protocols",,TX
2020-05-19,outdoor and recreation,start,Policy_Details: Gov't Northam   Source information: https://www.wavy.com/news/health/coronavirus/live-at-2-gov-northam-expected-to-make-announcement-on-beaches-in-press-conference/,,VA
2020-04-30,non-essential businesses,start,"Policy_Details: New Mexico's stay at home restrictions were modified on April 30, with an extension of the state's stay-at-home order in place until May 15.
New Mexicans must remain home except for outings essential for health, safety and welfare, especially elderly and vulnerable individuals. If you must leave home, gatherings of more than five people remain prohibited and 6 feet of physical distance from others must be maintained.
Large retailers like big-box stores and grocery stores will continue operating at 20 percent capacity as determined by fire code.  
Other high-intensity contact services that must remain closed include indoor malls, massage and tattoo parlors, theaters, casinos.
WHAT WILL CHANGE BEGINNING MAY 16:
All retailers may operate according to COVID-Safe Practices (“CSPs”) at 25 percent fire code occupancy (a “retailer” is any business that sells goods directly to the ultimate consumer or end-users and does not include wholesalers or suppliers, not does it include entertainment venues such as movie theaters, concert halls, or amusement parks);
Non-essential businesses (other than retailers; such as office spaces, call centers) generally may operate according to CSPs at up to 25 percent of pre-crisis staffing levels. All employees should continue to work from home wherever possible;
   Source information: https://cv.nmhealth.org/2020/05/13/stay-at-home-order-extended/",,NM
2020-04-30,entertainment,start,"Policy_Details: New Mexico's stay at home restrictions were modified on April 30, with an extension of the state's stay-at-home order in place until May 15.
New Mexicans must remain home except for outings essential for health, safety and welfare, especially elderly and vulnerable individuals. If you must leave home, gatherings of more than five people remain prohibited and 6 feet of physical distance from others must be maintained.
Locations and services where high-intensity contact is unavoidable – such as dine-in service at restaurants and bars – will remain temporarily closed. Limited in-person operations for those types of businesses could be included in the next modification of the public health order, as soon as early June, depending on New Mexico’s rate of COVID-19 transmission, testing capacity and other gating criteria.
Other high-intensity contact services that must remain closed include theaters, casinos.   Source information: https://cv.nmhealth.org/2020/05/13/stay-at-home-order-extended/",,NM
2020-06-15,phase 2,start,"Policy_Details: Governor Carney announced Phase 2 of Delaware's reopening will begin June 15, 2020 INDIVIDUAL GUIDELINES -Cloth coverings must be worn -Non-household members must maximize social distancing -All individuals in public (parks, outdoor recreation areas, shopping, etc) must social distance -Indoor gathering limit: 50 people but social distance from non-household members -Places operating at 30% occupancy under Phase 1 can move to 60% occupancy -Exercise facilities and personal care services (hair, tanning, tattoo, massage, nail, brow, spas) to remain at 30% occupancy -Fully unenclosed outdoor gatherings of up to 250 people are permitted -Leisure travel should be avoided but may resume under general guidance -All vulnerable individuals should continue to shelter in place BUSINESS GUIDELINES -Common areas where people can congregate must remain closed -Employees/customers have responsibility to self-quarantine if they think they may be sick -Teleworking is encouraged -All surfaces touched by customers must be disinfected by EPA-approved disinfectant every 15 minutes to 2 hours -Employees required to go to work should perform daily health work -All employees must wash hands throughout the day and use hand sanitizer and social distance from other employees -Businesses must make hand sanitizer available to employees and patrons (hand sanitizer must be 60% ethanol and 70% isopropanol -Downtime should be given between shifts and after closing for cleaning -Employees must post signs about how to stop spread of COVID-19, hand hygiene, and wear a face covering Phase Level: 2, Phase Details Source information: https://governor.delaware.gov/wp-content/uploads/sites/24/2020/06/Delaware-Economic-Reopening-PHASE-2.pdf",,DE
2020-05-09,phase 1,start,"Policy_Details: non-critical retail open with capacity limits ; restaurants open for pickup, delivery, drive-through only ; manufacturing, construction, service-based businesses open ; childcare resumes (limited availability) ; hospitals & physician offiers remain open, elective procedures resume (telehealth encouraged) ; religious ceremonies limited to 5 or fewer staff & attendees combined (funerals & end-of life rituals limited to 10 or fewer attendees, excluding staff) ; all employees who can WFH should ;gatherings limited to 5 or fewer ; office-based businesses resume limited on-site visits (e.g. to pick up equiptment) for staff working remotely ; close-contact businesses (haircutters, personal services, gyms, fitness studios) remain closed ; recreation & entertainment businesses remain closed ;large gatherings & events prohibited  Phase Level: 1, Phase Details Source information: https://www.reopeningri.com/resource_pdfs/Phase-I-summary-of-open-settings-05.08.20.pdf",3.0,RI
2020-03-25,shelter in place,start,"Stay at home, effective March 25 at 12:01 a.m. As in other states, there are exceptions to the stay-at-home order in Hawaii, including leaving the house to go surfing and swimming. But the governor's office said violations could be punishable by a fine of up to $5,000, or as much as one year in jail. “The threat of COVID-19 is unprecedented and requires aggressive action,"" Gov. David Ige said.",,HI
2020-06-08,phase 3,start,"Policy_Details: Mass gatherings up to 45 people.
All businesses open with physical distancing.   Source information: https://covid.ks.gov/wp-content/uploads/2020/05/Reopen-Kansas-Framework-v7.pdf",,KS
2020-05-11,non-essential businesses,start,"Policy_Details: standalone/strip mall retail stores with outside entrance open for in-person shopping (5 customers at a time) ; personal care services (i.e. hair, nails, day spas, electrolysis, waxing, tattoo, body art, tanning) closed 

 Phase Level: Shelter in Place, Phase Details Source information: https://content.govdelivery.com/attachments/WIGOV/2020/05/11/file_attachments/1447953/EMO36-SAHDialTurn2.pdf ",3.0,WI
2020-05-01,outdoor and recreation,start,"Policy_Details: guided outdoor activities (hunting, fishing, boating) resume; marinas, golf courses, 30 state parks, historic sites, state-owned public lands trails open (coastal sites remain closed) 
 Phase Level: 1, Phase Details Source information: https://www.maine.gov/covid19/restartingmaine",3.0,ME
2020-05-08,outdoor and recreation,start,"Policy_Details: Stage 2 allows gradual reopening of lower-risk workplaces with adaptations including bookstores, clothing stores, florists and sporting goods stores, with modifications  Phase Level: 2, Phase Details Source information: https://www.gov.ca.gov/wp-content/uploads/2020/05/5.4-Report-Card-on-California-Resilience-Roadmap.pdf",,CA
2020-05-04,non-essential businesses,start,"Policy_Details: """"""During Phase I, we can gradually start to reopen economic and social activity. This will be a deliberate process, and is flexible to adapt to the situation. Some communities may be able to reopen at a faster rate, while others may need to continue restrictions to keep the virus from spreading. During Phase I, we should limit our activity and interactions and continue to maintain social distancing and practice good hygiene to protect our neighbors and ourselves.

Citizens who feel sick should stay home!
Continue to practice good hygiene, including:
Washing hands with soap and water, or using hand sanitizer, especially after touching frequently used items or surfaces;
Avoiding touching your face;
Sneezing or coughing into a tissue, or the inside of your elbow; and
Disinfecting frequently used items and surfaces as much as possible.
Avoid socializing in groups that do not readily allow for appropriate physical distancing (receptions, trade shows, etc.). When in public (parks, outdoor recreation spaces, shopping malls, etc.), individuals should maximize physical distance from others.
Minimize travel to the extent possible.""""""   Source information: https://governor.mo.gov/sites/gov/files/media/pdf/2020/04/Economic-Reopening-Phase-1.pdf",,MO
2020-04-27,outdoor and recreation,start,"Policy_Details: Governor amended executive order, statewide. Beginning May 1, gyms and exercise facilities in most counties can reopen at 50% capacity. The state released guidelines for social distancing and worker and consumer protections.   Source information: https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee29.pdf",,TN
2020-05-04,non-essential businesses,start,"Policy_Details: Executive Order 20-25 (amending EO 20-03) by Governor Asa Hutchinson: businesses subject to social distancing polices by Arkansas Department of Health  Phase Level: 1, Phase Details Source information: https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-25._._.pdf",3.0,AR
2020-04-23,outdoor and recreation,start,"Policy_Details: Governor Brian Kemp Executive Order: Stay at home order was extended, but only for elderly and medically compromised.
 Cease in-person operations of amusement parks, pools Phase Level: 1, Phase Details Source information: https://www.georgia.org/covid19bizguide, https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders (click on order from 4/23 to download pdf)",3.0,GA
2020-06-30,phase 4,start,"Policy_Details: cleared for reopening: 
Higher Education
Pre-K to Grade 12 Schools
Low-Risk Outdoor Arts & Entertainment
Low-Risk Indoor Arts & Entertainment
Media Production
Professional Sports Competitions With No Fans
Malls   Source information: https://forward.ny.gov/phase-four-industries",,NY
2020-04-23,entertainment,start,"Policy_Details: Governor Brian Kemp Executive Order: Stay at home order was extended, but only for elderly and medically compromised.  Indoor movie theaters and bowling alleys may reopen given guidelines.
Cease in-person operations of bars, live performances, amusement parks/perfomance venues.   Phase Level: 1, Phase Details Source information: https://www.georgia.org/covid19bizguide, https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders (click on order from 4/23 to download pdf)",3.0,GA
2020-05-18,phase 2,start,"Policy_Details: On May 22, the state entered its second phase of reopening. Bars, bowling alleys, bingo halls and rodeo events were allowed to open with additional guidelines, including occupancy limits. On May 31, certain professional sports leagues will be allowed to reopen without fans. On June 1, in-person summer school classes will be able to resume with additional guidelines. Phase Level: 2, Phase Details Source information: https://www.washingtonpost.com/graphics/2020/national/states-reopening-coronavirus-map/, https://gov.texas.gov/news/post/governor-abbott-announces-phase-two-to-open-texas",,TX
2020-06-11,phase 2,start,"Policy_Details: Maryland is suspending fees paid by someone who has a liquor license as part of Phase 2  Phase Level: 2, Phase Details Source information: https://governor.maryland.gov/wp-content/uploads/2020/06/Liquor-License-Fees-6.11.20.pdf",,MD
2020-05-22,outdoor and recreation,start,Policy_Details: Beaches   Source information: https://news.delaware.gov/2020/05/14/governor-carney-announces-reopening-of-beaches-to-delawareans/,,DE
2020-05-04,phase 1,start,"Policy_Details: ""The previous statewide Stay-at-Home and mass gatherings orders are lifted and mass gatherings of more than 10 individuals are prohibited. [...] Industries or functions that are already in operation pursuant to KEFF may continue to function while, if possible, avoiding gatherings of more than 10 individuals where social distancing measures are difficult to maintain. Any local government that decides to impose equal or more stringent restrictions during this phase is permitted to do so, except with regards to essential functions in KEFF. Any federal restrictions imposed and still in effect must be followed."" (p.9 of pdf in Source)   Source information: https://covid.ks.gov/wp-content/uploads/2020/05/Reopen-Kansas-Framework-v5-1.pdf",,KS
2020-04-21,phase 1,start,"Policy_Details: Phase 1 of Healthy at Work announced by Governor Andy Beshear on April 21, but this phase is only a state-readiness evaluation- reopening of economy did not begin until later during the second phase (announced early May) which is an individual business-readiness evaluation. Phase Level: 1, Phase Details Source information: https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=136",,KY
2020-03-31,outdoor and recreation,start,"Policy_Details: Starting Monday, May 4, 2020, retail businesses will be allowed to sell goods through delivery service, window service, walk-up service, drive-through service, drive-up service or curbside delivery provided they establish and implement sanitation and physical distancing measures. This updated guidance applies to the act of selling goods, not services.   Source information: https://azgovernor.gov/sites/default/files/eo_2020-33_0.pdf",,AZ
2020-05-01,outdoor and recreation,start,"Policy_Details: ""Indoor gyms and recreation facilities remain closed, develop plans for reopening and ability to meet protocol business protocols in order to open in stage 2.  Hair salons remain closed, develop plans for reopening and ability to meet business protocols in order to open in stage 2.  	Large venues (e.g., movie theaters and sporting venues) are closed.    Restaurants dining rooms remain closed, develop plans for reopening and ability to meet business protocols in order to open in stage 2.    Bars and nightclubs remain closed.""   Source information: https://rebound.idaho.gov/wp-content/uploads/2020/05/opening-up-guidlines_rev051420.pdf",,ID
2020-03-16,shelter in place,start,Policy_Details: Retail - 50% Personal Care - Mon-Sat Outdoor and Recreations - Within curfew   Source information: https://www.estado.pr.gov/en/executive-orders/,,PR
2020-04-10,shelter in place,start,State Policy Start,,NE
2020-05-08,non-essential businesses,start,"Policy_Details: • 50% capacity for businesses such as retail, restaurants, personal care and offices    Source information: https://covid19.alaska.gov/reopen/",,AK
2020-05-09,entertainment,start,"Policy_Details: ""All businesses and employers are encouraged to adopt and/or take the following
actions:
Businesses should encourage customers to wear FACE COVERINGS.
Continue to encourage TELEWORK, whenever possible and feasible with business operations.
If possible, have employees RETURN TO WORK IN PHASES.
CLOSE COMMON AREAS where personnel are likely to congregate and interact, or enforce strict social
distancing protocols.
Follow guidance from the NEVADA LABOR COMMISSIONER regarding sick leave policies.
Strongly consider SPECIAL ACCOMMODATIONS for employees who are members of a vulnerable
population.
Consider encouraging employees to do a SELF-ASSESSMENT each day in order to check if they have
any COVID-19 type symptoms (fever, cough or shortness of breath).
Remind employees to STAY HOME WHEN SICK, use cough and sneeze etiquette, and practice hand
hygiene.
Frequently perform enhanced ENVIRONMENTAL CLEANING of commonly touched surfaces.
Social Distancing & Sanitation Practices in Businesses - All businesses should consider proactive
measures to help protect staff and customers, including but not limited to:
• Implementing separate operating hours for the elderly and vulnerable customers.
• Designating with signage, tape or by other means, six feet of spacing for employees, customers,
clients or members to maintain appropriate distance.
• Having hand sanitizer, and sanitizing products, readily available for employees and customers.""   Source information: https://nvhealthresponse.nv.gov/wp-content/uploads/2020/05/Declaration-of-Emergency-Directive-018.Phase-1-Reopening.5-7-20-1.pdf",,NV
2020-06-10,non-essential businesses,start,"Policy_Details: Retail establishments and malls may to general public as long as # of people in establishment does not exceed 50% of maximum occupancy 
On June 19, 2020, shopping centers that have one or more enclosed pedestrian concourses may open to general public  Phase Level: 2, Phase Details Source information: https://governor.maryland.gov/wp-content/uploads/2020/06/Gatherings-NINTH-AMENDED-6.10.20.pdf",,MD
2020-06-01,entertainment,start,"Policy_Details: ALL BUSINESSES can remain operational and must adhere to physical distancing.
• RESTAURANTS / BARS / BREWERIES / DISTILLERIES / CASINOS, GYMS / POOLS / HOT
TUBS, and MOVIE THEATRES remain in the same operational status as PHASE ONE, but with an
increase in capacity from 50% to 75%.
• ORGANIZED YOUTH ACTIVITES remain operational and should avoid GATHERING in groups of
more than 50 people in circumstances that do not readily allow for appropriate physical distancing.
• PLACES OF ASSEMBLY including live music venues and bowling alleys can become
operational with reduced capacity and must adhere to physical distancing. Avoid GATHERING in
groups of more than 50 people in circumstances that do not readily allow for appropriate physical
distancing. Cancel gatherings of more than 50 people unless physical distancing can be
maintained.
 Phase Level: 2, Phase Details Source information: https://covid19.mt.gov/Portals/223/Documents/Reopening%20Montana%20Phase%202.pdf?ver=2020-05-20-142015-167",,MT
2020-05-11,entertainment,start,"Policy_Details: drive-in theaters open
 Phase Level: 1, Phase Details Source information: https://www.governor.nh.gov/sites/g/files/ehbemt336/files/documents/emergency-order-40.pdf",,NH
